1	Oh	_	UH	UH	_	3	discourse	_	_
39	with	_	IN	IN	_	33	prep	_	_
40	you	_	PRP	PRP	_	39	pobj	_	_
41	.	_	.	.	_	0	erased	_	_

1	7	_	NNP	NNP	_	4	nn	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
4	You	_	NNP	NNP	_	8	nsubj	_	_
5	're	_	VBP	VBP	_	8	cop	_	_
6	so	_	RB	RB	_	8	advmod	_	_
7	much	_	RB	RB	_	8	advmod	_	_
8	better	_	JJR	JJR	_	0	root	_	_
9	than	_	IN	IN	_	8	prep	_	_
10	my	_	PRP$	PRP$	_	11	poss	_	_
11	ex	_	FW	FW	_	9	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	the	_	DT	DT	_	15	det	_	_
14	Park	_	NNP	NNP	_	15	nn	_	_
15	Hyatt	_	NNP	NNP	_	11	appos	_	_
16	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	admit	_	VB	VB	_	2	xcomp	_	_
5	our	_	PRP$	PRP$	_	6	poss	_	_
6	breakup	_	NN	NN	_	10	nsubj	_	_
7	was	_	VBD	VBD	_	10	cop	_	_
8	not	_	RB	RB	_	10	neg	_	_
9	exactly	_	RB	RB	_	10	advmod	_	_
10	pretty	_	JJ	JJ	_	4	ccomp	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	loved	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	5	det	_	_
4	Park	_	NNP	NNP	_	5	nn	_	_
5	Hyatt	_	NNP	NNP	_	2	dobj	_	_
6	because	_	RB	RB	_	7	advmod	_	_
7	of	_	IN	IN	_	5	prep	_	_
8	its	_	PRP$	PRP$	_	16	poss	_	_
9	Gerhard	_	NNP	NNP	_	16	nn	_	_
10	Richter	_	NNP	NNP	_	16	nn	_	_
11	,	_	,	,	_	0	erased	_	_
12	Dale	_	NNP	NNP	_	16	appos	_	_
13	Chihuly	_	NNP	NNP	_	16	nn	_	_
14	,	_	,	,	_	0	erased	_	_
15	Eames	_	NNP	NNP	_	16	appos	_	_
16	chairs	_	NNS	NNS	_	7	pobj	_	_
17	and	_	CC	CC	_	16	cc	_	_
18	window	_	NN	NN	_	19	nn	_	_
19	seats	_	NNS	NNS	_	16	conj	_	_
20	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	may	_	MD	MD	_	4	aux	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	have	_	VB	VB	_	0	root	_	_
5	those	_	DT	DT	_	6	det	_	_
6	things	_	NNS	NNS	_	4	dobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	but	_	CC	CC	_	4	cc	_	_
9	you	_	PRP	PRP	_	10	nsubj	_	_
10	have	_	VBP	VBP	_	4	conj	_	_
11	balconies	_	NNS	NNS	_	10	dobj	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	fireplaces	_	NNS	NNS	_	11	conj	_	_
14	!	_	.	.	_	0	erased	_	_

1	Now	_	RB	RB	_	0	root	_	_
2	if	_	IN	IN	_	5	mark	_	_
3	you	_	PRP	PRP	_	5	nsubj	_	_
4	only	_	RB	RB	_	5	advmod	_	_
5	had	_	VBD	VBD	_	1	dep	_	_
6	bearskin	_	NN	NN	_	7	nn	_	_
7	rugs	_	NNS	NNS	_	5	dobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Your	_	PRP$	PRP$	_	2	poss	_	_
2	artwork	_	NN	NN	_	23	nsubj	_	_
3	--	_	:	:	_	0	erased	_	_
4	especially	_	RB	RB	_	16	dep	_	_
5	that	_	IN	IN	_	16	mark	_	_
6	cool	_	JJ	JJ	_	8	amod	_	_
7	green	_	JJ	JJ	_	8	amod	_	_
8	painting	_	NN	NN	_	16	nsubj	_	_
9	behind	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	front	_	JJ	JJ	_	12	amod	_	_
12	desk	_	NN	NN	_	9	pobj	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	the	_	DT	DT	_	15	det	_	_
15	face	_	NN	NN	_	12	conj	_	_
16	waterfall/tiles	_	VBZ	VBZ	_	2	dep	_	_
17	in	_	IN	IN	_	16	prep	_	_
18	the	_	DT	DT	_	19	det	_	_
19	spa	_	NN	NN	_	17	pobj	_	_
20	--	_	:	:	_	0	erased	_	_
21	is	_	VBZ	VBZ	_	23	cop	_	_
22	pretty	_	RB	RB	_	23	advmod	_	_
23	sweet	_	JJ	JJ	_	0	root	_	_
24	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	take	_	VBP	VBP	_	0	root	_	_
3	everything	_	NN	NN	_	2	dobj	_	_
4	the	_	DT	DT	_	6	det	_	_
5	Park	_	NNP	NNP	_	6	nn	_	_
6	Hyatt	_	NNP	NNP	_	7	nsubj	_	_
7	does	_	VBZ	VBZ	_	3	rcmod	_	_
8	and	_	CC	CC	_	2	cc	_	_
9	you	_	PRP	PRP	_	10	nsubj	_	_
10	do	_	VBP	VBP	_	2	conj	_	_
11	it	_	PRP	PRP	_	12	nsubj	_	_
12	better	_	JJR	JJR	_	10	xcomp	_	_
13	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	Park	_	NNP	NNP	_	3	nn	_	_
3	Hyatt	_	NNP	NNP	_	4	nsubj	_	_
4	has	_	VBZ	VBZ	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	TV	_	NN	NN	_	4	dobj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	bathroom	_	NN	NN	_	7	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	4	cc	_	_
12	it	_	PRP	PRP	_	16	nsubj	_	_
13	did	_	VBD	VBD	_	16	aux	_	_
14	n't	_	RB	RB	_	16	neg	_	_
15	even	_	RB	RB	_	16	advmod	_	_
16	work	_	VB	VB	_	4	conj	_	_
17	the	_	DT	DT	_	19	det	_	_
18	last	_	JJ	JJ	_	19	amod	_	_
19	time	_	NN	NN	_	16	dobj	_	_
20	I	_	PRP	PRP	_	21	nsubj	_	_
21	stayed	_	VBD	VBD	_	19	rcmod	_	_
22	there	_	RB	RB	_	21	advmod	_	_
23	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	TV	_	NN	NN	_	2	dobj	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	mirror	_	NN	NN	_	5	pobj	_	_
8	!	_	.	.	_	0	erased	_	_

1	Even	_	RB	RB	_	6	advmod	_	_
2	your	_	PRP$	PRP$	_	4	poss	_	_
3	complimentary	_	JJ	JJ	_	4	amod	_	_
4	slippers	_	NNS	NNS	_	6	nsubj	_	_
5	are	_	VBP	VBP	_	6	cop	_	_
6	better	_	JJR	JJR	_	0	root	_	_
7	than	_	IN	IN	_	11	mark	_	_
8	the	_	DT	DT	_	10	det	_	_
9	Park	_	NNP	NNP	_	10	nn	_	_
10	Hyatt	_	NNP	NNP	_	11	nsubj	_	_
11	's	_	VBZ	VBZ	_	6	ccomp	_	_
12	!	_	.	.	_	0	erased	_	_

1	Theirs	_	NNS	NNS	_	3	nsubj	_	_
2	are	_	VBP	VBP	_	3	cop	_	_
3	cheap	_	JJ	JJ	_	0	root	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	flimsy	_	JJ	JJ	_	3	conj	_	_
6	,	_	,	,	_	0	erased	_	_
7	whereas	_	IN	IN	_	10	mark	_	_
8	yours	_	PRP$	PRP$	_	10	nsubj	_	_
9	are	_	VBP	VBP	_	10	cop	_	_
10	soft	_	JJ	JJ	_	3	advcl	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	plush	_	JJ	JJ	_	10	conj	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	once	_	RB	RB	_	3	advmod	_	_
3	called	_	VBD	VBD	_	0	root	_	_
4	the	_	DT	DT	_	5	det	_	_
5	P.H.	_	NNP	NNP	_	3	dobj	_	_
6	about	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	deal	_	NN	NN	_	6	pobj	_	_
9	they	_	PRP	PRP	_	10	nsubj	_	_
10	emailed	_	VBD	VBD	_	8	rcmod	_	_
11	me	_	PRP	PRP	_	10	dobj	_	_
12	about	_	IN	IN	_	10	prep	_	_
13	and	_	CC	CC	_	10	cc	_	_
14	the	_	DT	DT	_	15	det	_	_
15	website	_	NN	NN	_	18	nsubj	_	_
16	did	_	VBD	VBD	_	18	aux	_	_
17	n't	_	RB	RB	_	18	neg	_	_
18	recognize	_	VB	VB	_	10	conj	_	_
19	the	_	DT	DT	_	20	det	_	_
20	deal	_	NN	NN	_	18	dobj	_	_
21	,	_	,	,	_	0	erased	_	_
22	but	_	CC	CC	_	3	cc	_	_
23	they	_	PRP	PRP	_	24	nsubj	_	_
24	had	_	VBD	VBD	_	3	conj	_	_
25	no	_	DT	DT	_	26	neg	_	_
26	clue	_	NN	NN	_	24	dobj	_	_
27	what	_	WP	WP	_	30	dobj	_	_
28	I	_	PRP	PRP	_	30	nsubj	_	_
29	was	_	VBD	VBD	_	30	aux	_	_
30	talking	_	VBG	VBG	_	26	rcmod	_	_
31	about	_	IN	IN	_	30	dep	_	_
32	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	even	_	RB	RB	_	3	advmod	_	_
3	forwarded	_	VBD	VBD	_	16	dep	_	_
4	them	_	PRP	PRP	_	6	nsubj	_	_
5	the	_	DT	DT	_	6	det	_	_
6	email	_	NN	NN	_	3	xcomp	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	sent	_	VBD	VBD	_	3	conj	_	_
9	them	_	PRP	PRP	_	8	iobj	_	_
10	screenshots	_	NNS	NNS	_	8	dobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	screen	_	NN	NN	_	11	pobj	_	_
14	I	_	PRP	PRP	_	16	nsubj	_	_
15	was	_	VBD	VBD	_	16	aux	_	_
16	getting	_	VBG	VBG	_	0	root	_	_
17	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	6	cc	_	_
2	they	_	PRP	PRP	_	6	nsubj	_	_
3	still	_	RB	RB	_	6	advmod	_	_
4	could	_	MD	MD	_	6	aux	_	_
5	n't	_	RB	RB	_	6	neg	_	_
6	figure	_	VB	VB	_	0	root	_	_
7	out	_	RP	RP	_	6	prt	_	_
8	what	_	WP	WP	_	11	dobj	_	_
9	I	_	PRP	PRP	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	aux	_	_
11	talking	_	VBG	VBG	_	6	ccomp	_	_
12	about	_	IN	IN	_	11	dep	_	_
13	!	_	.	.	_	0	erased	_	_

1	Then	_	RB	RB	_	3	advmod	_	_
2	they	_	PRP	PRP	_	3	nsubj	_	_
3	promised	_	VBD	VBD	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	call	_	VB	VB	_	3	xcomp	_	_
6	me	_	PRP	PRP	_	5	dobj	_	_
7	back	_	RB	RB	_	5	advmod	_	_
8	but	_	CC	CC	_	3	cc	_	_
9	did	_	VBD	VBD	_	11	aux	_	_
10	n't	_	RB	RB	_	11	neg	_	_
11	do	_	VB	VB	_	3	conj	_	_
12	so	_	RB	RB	_	11	advmod	_	_
13	for	_	IN	IN	_	11	prep	_	_
14	two	_	CD	CD	_	15	num	_	_
15	days	_	NNS	NNS	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	5	advmod	_	_
2	the	_	DT	DT	_	3	det	_	_
3	concierge	_	NN	NN	_	5	nsubj	_	_
4	finally	_	RB	RB	_	5	advmod	_	_
5	did	_	VBD	VBD	_	9	advcl	_	_
6	call	_	NN	NN	_	5	dobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	it	_	PRP	PRP	_	9	nsubj	_	_
9	took	_	VBD	VBD	_	0	root	_	_
10	me	_	PRP	PRP	_	9	iobj	_	_
11	everything	_	NN	NN	_	9	dobj	_	_
12	I	_	PRP	PRP	_	14	nsubj	_	_
13	had	_	VBD	VBD	_	14	aux	_	_
14	not	_	RB	RB	_	11	rcmod	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	tell	_	VB	VB	_	14	xcomp	_	_
17	them	_	PRP	PRP	_	16	dobj	_	_
18	that	_	IN	IN	_	22	mark	_	_
19	I	_	PRP	PRP	_	22	nsubj	_	_
20	had	_	VBD	VBD	_	22	aux	_	_
21	already	_	RB	RB	_	22	advmod	_	_
22	moved	_	VBN	VBN	_	16	ccomp	_	_
23	on	_	RP	RP	_	22	prt	_	_
24	,	_	,	,	_	0	erased	_	_
25	had	_	VBD	VBD	_	26	aux	_	_
26	decided	_	VBN	VBN	_	14	ccomp	_	_
27	to	_	TO	TO	_	28	aux	_	_
28	stay	_	VB	VB	_	26	xcomp	_	_
29	with	_	IN	IN	_	28	prep	_	_
30	you	_	PRP	PRP	_	29	pobj	_	_
31	instead	_	RB	RB	_	28	advmod	_	_
32	,	_	,	,	_	0	erased	_	_
33	and	_	CC	CC	_	26	cc	_	_
34	that	_	IN	IN	_	39	mark	_	_
35	you	_	PRP	PRP	_	39	nsubj	_	_
36	were	_	VBD	VBD	_	39	cop	_	_
37	now	_	RB	RB	_	39	advmod	_	_
38	the	_	DT	DT	_	39	det	_	_
39	love	_	NN	NN	_	26	conj	_	_
40	of	_	IN	IN	_	39	prep	_	_
41	my	_	PRP$	PRP$	_	42	poss	_	_
42	life	_	NN	NN	_	40	pobj	_	_
43	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	0	root	_	_
3	you	_	PRP	PRP	_	6	nsubj	_	_
4	would	_	MD	MD	_	6	aux	_	_
5	never	_	RB	RB	_	6	neg	_	_
6	mistreat	_	VB	VB	_	2	ccomp	_	_
7	me	_	PRP	PRP	_	6	dobj	_	_
8	like	_	IN	IN	_	6	prep	_	_
9	that	_	DT	DT	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	know	_	VBP	VBP	_	0	root	_	_
4	you	_	PRP	PRP	_	7	nsubj	_	_
5	're	_	VBP	VBP	_	7	aux	_	_
6	above	_	RB	RB	_	7	advmod	_	_
7	playing	_	VBG	VBG	_	3	ccomp	_	_
8	silly	_	JJ	JJ	_	9	amod	_	_
9	games	_	NNS	NNS	_	7	dobj	_	_
10	like	_	IN	IN	_	7	prep	_	_
11	waiting	_	VBG	VBG	_	10	pcomp	_	_
12	48	_	CD	CD	_	13	num	_	_
13	hours	_	NNS	NNS	_	11	dobj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	call	_	VB	VB	_	11	vmod	_	_
16	someone	_	NN	NN	_	15	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	8	_	CD	CD	_	3	nsubj	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	VBD	VBD	_	0	erased	_	_
4	Your	_	PRP$	PRP$	_	6	poss	_	_
5	close	_	JJ	JJ	_	6	amod	_	_
6	proximity	_	NN	NN	_	3	dobj	_	_
7	to	_	TO	TO	_	3	prep	_	_
8	most	_	JJS	JJS	_	7	pobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	my	_	PRP$	PRP$	_	12	poss	_	_
11	favorite	_	JJ	JJ	_	12	amod	_	_
12	spots	_	NNS	NNS	_	9	pobj	_	_
13	in	_	IN	IN	_	3	prep	_	_
14	Chicago	_	NNP	NNP	_	13	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	Located	_	VBN	VBN	_	12	vmod	_	_
2	on	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	corner	_	NN	NN	_	2	pobj	_	_
5	of	_	IN	IN	_	4	prep	_	_
6	Rush	_	NNP	NNP	_	5	pobj	_	_
7	&	_	CC	CC	_	6	cc	_	_
8	Walton	_	NNP	NNP	_	6	conj	_	_
9	,	_	,	,	_	0	erased	_	_
10	you	_	PRP	PRP	_	12	nsubj	_	_
11	're	_	VBP	VBP	_	12	cop	_	_
12	right	_	JJ	JJ	_	0	root	_	_
13	across	_	IN	IN	_	12	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	street	_	NN	NN	_	13	pobj	_	_
16	from	_	IN	IN	_	15	prep	_	_
17	Lululemon	_	NNP	NNP	_	16	pobj	_	_
18	and	_	CC	CC	_	17	cc	_	_
19	Sprinkles	_	NNP	NNP	_	17	conj	_	_
20	!	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	're	_	VBP	VBP	_	0	root	_	_
4	only	_	RB	RB	_	7	advmod	_	_
5	a	_	DT	DT	_	7	det	_	_
6	short	_	JJ	JJ	_	7	amod	_	_
7	stroll	_	NNS	NNS	_	8	npadvmod	_	_
8	away	_	RB	RB	_	3	advmod	_	_
9	from	_	IN	IN	_	3	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	Mag	_	NNP	NNP	_	12	nn	_	_
12	Mile	_	NNP	NNP	_	9	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	the	_	DT	DT	_	15	det	_	_
15	Museum	_	NN	NN	_	12	conj	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	Contemporary	_	NNP	NNP	_	18	nn	_	_
18	Art	_	NNP	NNP	_	16	pobj	_	_
19	,	_	,	,	_	0	erased	_	_
20	and	_	CC	CC	_	12	cc	_	_
21	Argo	_	NNP	NNP	_	22	nn	_	_
22	Tea	_	NNP	NNP	_	12	conj	_	_
23	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	sure	_	JJ	JJ	_	0	root	_	_
5	if	_	IN	IN	_	8	mark	_	_
6	I	_	PRP	PRP	_	8	nsubj	_	_
7	should	_	MD	MD	_	8	aux	_	_
8	list	_	VB	VB	_	4	advcl	_	_
9	this	_	DT	DT	_	8	dobj	_	_
10	as	_	IN	IN	_	8	prep	_	_
11	a	_	DT	DT	_	13	det	_	_
12	positive	_	JJ	JJ	_	13	amod	_	_
13	attribute	_	NN	NN	_	10	pobj	_	_
14	because	_	IN	IN	_	16	mark	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	have	_	VBP	VBP	_	8	advcl	_	_
17	no	_	DT	DT	_	18	neg	_	_
18	self-control	_	NN	NN	_	16	dobj	_	_
19	so	_	IN	IN	_	26	mark	_	_
20	my	_	PRP$	PRP$	_	21	poss	_	_
21	wallet	_	NN	NN	_	26	nsubj	_	_
22	is	_	VBZ	VBZ	_	26	cop	_	_
23	always	_	RB	RB	_	26	advmod	_	_
24	a	_	DT	DT	_	25	det	_	_
25	lot	_	RB	RB	_	26	npadvmod	_	_
26	lighter	_	JJR	JJR	_	18	dep	_	_
27	as	_	IN	IN	_	26	prep	_	_
28	a	_	DT	DT	_	29	det	_	_
29	result	_	NN	NN	_	27	pobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	waistline	_	NN	NN	_	4	nsubj	_	_
3	also	_	RB	RB	_	4	advmod	_	_
4	gets	_	VBZ	VBZ	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	bit	_	NN	NN	_	7	dep	_	_
7	thicker	_	JJR	JJR	_	4	dobj	_	_
8	when	_	WRB	WRB	_	10	advmod	_	_
9	I	_	PRP	PRP	_	10	nsubj	_	_
10	stay	_	VBP	VBP	_	4	advcl	_	_
11	here	_	RB	RB	_	10	advmod	_	_
12	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	4	cc	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	that	_	DT	DT	_	0	root	_	_
5	what	_	WP	WP	_	7	nsubj	_	_
6	usually	_	RB	RB	_	7	advmod	_	_
7	happens	_	VBZ	VBZ	_	4	rcmod	_	_
8	during	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	honeymoon	_	NN	NN	_	11	nn	_	_
11	phase	_	NN	NN	_	8	pobj	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	relationships	_	NNS	NNS	_	12	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	anyway	_	RB	RB	_	4	advmod	_	_
16	?	_	.	.	_	0	erased	_	_

1	9	_	JJ	JJ	_	3	dep	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	NNP	NNP	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	make	_	VBP	VBP	_	0	root	_	_
3	sure	_	JJ	JJ	_	2	acomp	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	get	_	VBP	VBP	_	3	ccomp	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	my	_	PRP$	PRP$	_	8	poss	_	_
8	destination	_	NN	NN	_	6	pobj	_	_
9	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
10	as	_	RB	RB	_	11	advmod	_	_
11	long	_	RB	RB	_	5	dep	_	_
12	as	_	IN	IN	_	14	mark	_	_
13	it	_	PRP	PRP	_	14	nsubj	_	_
14	's	_	VBZ	VBZ	_	11	advcl	_	_
15	within	_	IN	IN	_	14	prep	_	_
16	a	_	DT	DT	_	18	det	_	_
17	2-mile	_	JJ	JJ	_	18	amod	_	_
18	radius	_	NNS	NNS	_	15	pobj	_	_
19	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
20	safely	_	RB	RB	_	5	advmod	_	_
21	and	_	CC	CC	_	20	cc	_	_
22	in	_	IN	IN	_	20	conj	_	_
23	style	_	NN	NN	_	22	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	used	_	VBD	VBD	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	get	_	VB	VB	_	2	xcomp	_	_
5	me	_	PRP	PRP	_	4	dobj	_	_
6	there	_	RB	RB	_	4	advmod	_	_
7	in	_	IN	IN	_	4	prep	_	_
8	BMWs	_	NNS	NNS	_	7	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	but	_	CC	CC	_	2	cc	_	_
11	I	_	PRP	PRP	_	12	nsubj	_	_
12	hear	_	VBP	VBP	_	2	conj	_	_
13	that	_	IN	IN	_	16	mark	_	_
14	you	_	PRP	PRP	_	16	nsubj	_	_
15	're	_	VBP	VBP	_	16	aux	_	_
16	driving	_	VBG	VBG	_	12	ccomp	_	_
17	a	_	DT	DT	_	18	det	_	_
18	fleet	_	NN	NN	_	16	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	Lexuses	_	NNP	NNP	_	19	pobj	_	_
21	now	_	RB	RB	_	16	advmod	_	_
22	.	_	.	.	_	0	erased	_	_

1	Ca	_	MD	MD	_	3	aux	_	_
2	n't	_	RB	RB	_	3	neg	_	_
3	blame	_	VB	VB	_	10	dep	_	_
4	you	_	PRP	PRP	_	3	nsubj	_	_
5	;	_	:	:	_	0	erased	_	_
6	new	_	JJ	JJ	_	7	amod	_	_
7	rides	_	NNS	NNS	_	10	nsubj	_	_
8	are	_	VBP	VBP	_	10	cop	_	_
9	always	_	RB	RB	_	10	advmod	_	_
10	nice	_	JJ	JJ	_	0	root	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	you	_	PRP	PRP	_	15	nsubj	_	_
13	ca	_	MD	MD	_	15	aux	_	_
14	n't	_	RB	RB	_	15	neg	_	_
15	beat	_	VB	VB	_	10	conj	_	_
16	the	_	DT	DT	_	19	det	_	_
17	new	_	JJ	JJ	_	19	amod	_	_
18	car	_	NN	NN	_	19	nn	_	_
19	smell	_	NN	NN	_	15	dobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	4	mark	_	_
2	I	_	PRP	PRP	_	4	nsubj	_	_
3	could	_	MD	MD	_	4	aux	_	_
4	give	_	VB	VB	_	12	advcl	_	_
5	out	_	RP	RP	_	4	prt	_	_
6	six	_	CD	CD	_	9	num	_	_
7	or	_	CC	CC	_	6	cc	_	_
8	more	_	JJR	JJR	_	6	conj	_	_
9	stars	_	NNS	NNS	_	4	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	I	_	PRP	PRP	_	12	nsubj	_	_
12	would	_	MD	MD	_	0	root	_	_
13	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	5	mark	_	_
2	you	_	PRP	PRP	_	5	nsubj	_	_
3	could	_	MD	MD	_	5	aux	_	_
4	n't	_	RB	RB	_	5	neg	_	_
5	tell	_	VB	VB	_	12	advcl	_	_
6	,	_	,	,	_	0	erased	_	_
7	the	_	DT	DT	_	8	det	_	_
8	Elysian	_	NNP	NNP	_	12	nsubj	_	_
9	is	_	VBZ	VBZ	_	12	cop	_	_
10	my	_	PRP$	PRP$	_	12	poss	_	_
11	favorite	_	JJ	JJ	_	12	amod	_	_
12	hotel	_	NN	NN	_	0	root	_	_
13	in	_	IN	IN	_	12	prep	_	_
14	Chicago	_	NNP	NNP	_	13	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	Believe	_	VB	VB	_	13	ccomp	_	_
2	me	_	PRP	PRP	_	1	dobj	_	_
3	when	_	WRB	WRB	_	5	advmod	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	say	_	VBP	VBP	_	1	advcl	_	_
6	it	_	PRP	PRP	_	9	nsubj	_	_
7	's	_	VBZ	VBZ	_	9	cop	_	_
8	the	_	DT	DT	_	9	det	_	_
9	best	_	JJS	JJS	_	5	ccomp	_	_
10	,	_	,	,	_	0	erased	_	_
11	I	_	PRP	PRP	_	13	nsubj	_	_
12	've	_	VBP	VBP	_	13	aux	_	_
13	stayed	_	VBN	VBN	_	0	root	_	_
14	at	_	IN	IN	_	13	prep	_	_
15	pretty	_	RB	RB	_	16	advmod	_	_
16	much	_	JJ	JJ	_	20	amod	_	_
17	every	_	DT	DT	_	20	det	_	_
18	Chicago	_	NNP	NNP	_	20	nn	_	_
19	hotel	_	NN	NN	_	20	nn	_	_
20	worth	_	NN	NN	_	14	pobj	_	_
21	staying	_	VBG	VBG	_	20	vmod	_	_
22	at	_	IN	IN	_	21	prep	_	_
23	.	_	.	.	_	0	erased	_	_

