1	Oh	_	UH	UH	_	4	discourse	_	_
5	had	_	VBN	VBN	_	0	root	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	Union	_	NNP	NNP	_	8	nn	_	_
8	Station	_	NNP	NNP	_	6	pobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	Observing	_	VBG	VBG	_	45	vmod	_	_
2	drunken	_	NN	NN	_	4	nn	_	_
3	St.	_	NNP	NNP	_	4	nn	_	_
4	Patty	_	NNP	NNP	_	6	poss	_	_
5	's	_	POS	POS	_	4	possessive	_	_
6	antics	_	NNS	NNS	_	1	dobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	drinking	_	VBG	VBG	_	1	dep	_	_
9	with	_	IN	IN	_	8	prep	_	_
10	ravers	_	NNS	NNS	_	9	pobj	_	_
11	we	_	PRP	PRP	_	13	nsubj	_	_
12	just	_	RB	RB	_	13	advmod	_	_
13	met	_	VBD	VBD	_	10	rcmod	_	_
14	in	_	IN	IN	_	13	prep	_	_
15	the	_	DT	DT	_	17	det	_	_
16	great	_	JJ	JJ	_	17	amod	_	_
17	hall	_	NN	NN	_	14	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	sleeping	_	VBG	VBG	_	1	dep	_	_
20	in	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	23	det	_	_
22	Amtrak	_	NNP	NNP	_	23	nn	_	_
23	lounge	_	NN	NN	_	20	pobj	_	_
24	after	_	IN	IN	_	19	prep	_	_
25	a	_	DT	DT	_	27	det	_	_
26	crazy	_	JJ	JJ	_	27	amod	_	_
27	night	_	NN	NN	_	24	pobj	_	_
28	...	_	:	:	_	0	erased	_	_
29	Once	_	RB	RB	_	19	advmod	_	_
30	,	_	,	,	_	0	erased	_	_
31	drunk	_	NN	NN	_	19	advmod	_	_
32	on	_	IN	IN	_	1	prep	_	_
33	the	_	DT	DT	_	34	det	_	_
34	train	_	NN	NN	_	32	pobj	_	_
35	,	_	,	,	_	0	erased	_	_
36	my	_	PRP$	PRP$	_	38	poss	_	_
37	boyfriends	_	JJ	JJ	_	38	amod	_	_
38	response	_	NN	NN	_	45	nsubj	_	_
39	to	_	TO	TO	_	38	prep	_	_
40	the	_	DT	DT	_	41	det	_	_
41	man	_	NN	NN	_	39	pobj	_	_
42	taking	_	VBG	VBG	_	41	vmod	_	_
43	the	_	DT	DT	_	44	det	_	_
44	tickets	_	NNS	NNS	_	42	dobj	_	_
45	was	_	VBD	VBD	_	0	root	_	_
46	to	_	TO	TO	_	47	aux	_	_
47	puke	_	VB	VB	_	45	xcomp	_	_
48	EVERYWHERE	_	NNP	NNP	_	47	dobj	_	_
49	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	nonchalant	_	NN	NN	_	3	nn	_	_
3	man	_	NN	NN	_	5	nsubj	_	_
4	simply	_	RB	RB	_	5	advmod	_	_
5	punched	_	VBD	VBD	_	0	root	_	_
6	our	_	PRP$	PRP$	_	7	poss	_	_
7	tickets	_	NNS	NNS	_	5	dobj	_	_
8	and	_	CC	CC	_	5	cc	_	_
9	continued	_	VBD	VBD	_	5	conj	_	_
10	on	_	RP	RP	_	9	prt	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	can	_	MD	MD	_	4	aux	_	_
3	only	_	RB	RB	_	4	advmod	_	_
4	imagine	_	VB	VB	_	0	root	_	_
5	the	_	DT	DT	_	6	det	_	_
6	things	_	NNS	NNS	_	4	dobj	_	_
7	he	_	PRP	PRP	_	9	nsubj	_	_
8	has	_	VBZ	VBZ	_	9	aux	_	_
9	seen	_	VBN	VBN	_	6	rcmod	_	_
10	.	_	.	.	_	0	erased	_	_

